id;name;created_at;department_id
152607f6-38fd-44ca-9acd-7d67412bba06;เครื่องตรวจจับโลหะ;2026-06-06 04:09:43.307096+00;55aec469-0286-485e-be17-ad143ea8ddd2
21f2ba87-c305-4125-bbbf-7d5aa8a95cf2;เครื่องผลิตไนโตรเจน;2026-06-06 04:12:32.021984+00;55aec469-0286-485e-be17-ad143ea8ddd2
a6634b71-38ea-4627-8cf8-a4fac282a6e4;เครื่องปิดฝาฟอย;2026-06-06 04:35:15.61955+00;55aec469-0286-485e-be17-ad143ea8ddd2
76b5ca61-5bdf-4e0b-a90a-7543fd9aff3c;เครื่องปล่อยกล่องอัตโนมัติ;2026-06-06 04:37:19.741295+00;55aec469-0286-485e-be17-ad143ea8ddd2
01162a31-47d8-45db-81df-18541c99859e;เครื่องปิดปากกล่อง;2026-06-06 04:39:17.852756+00;55aec469-0286-485e-be17-ad143ea8ddd2
a662b9d2-6065-49dc-8e78-4e40f39a0f26;เครื่องบรรจุสี่เหลี่ยม;2026-06-06 04:39:51.614569+00;55aec469-0286-485e-be17-ad143ea8ddd2
22a2ca21-54ec-4727-891a-1361d4efe96c;โฟล์คลิฟท์น้ำมัน;2026-06-08 01:24:29.811634+00;7d38fe14-8dc9-4b09-8d0c-95bf62568b93
7784de97-4c89-408a-87d5-f785dcdcb314;โฟล์คลิฟท์ไฟฟ้า;2026-06-08 01:27:07.137052+00;7d38fe14-8dc9-4b09-8d0c-95bf62568b93
797cfb7c-41f5-4f95-a408-1d339c3841d4;แฮนด์ลิฟท์;2026-06-08 03:09:15.052271+00;7d38fe14-8dc9-4b09-8d0c-95bf62568b93
dd226b8a-63ed-4de9-82a5-6e2dd947be37;แฮนด์ลิฟท์ตาชั่ง;2026-06-08 06:33:29.083396+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
55fad102-58b8-4ed2-9a00-8770a0eabf40;แฮนด์ลิฟท์สโตร์;2026-06-08 06:35:01.792047+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
328211b8-26d6-4a83-b2ee-328143ca3855;โฟล์คลิฟท์ไฟฟ้าสโตร์;2026-06-08 06:38:31.942101+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
347f4266-d8a3-40ce-8211-08f483372408;เครื่อง FUJI TYPE FW-77;2026-06-09 01:20:05.78854+00;55aec469-0286-485e-be17-ad143ea8ddd2
ed438e9e-f1f6-424c-9024-b0f86509d249;อื่นๆ;2026-07-01 08:29:41.147547+00;7d38fe14-8dc9-4b09-8d0c-95bf62568b93
adb443a5-1888-4830-a0d6-bd78bbc7292b;แอร์;2026-07-02 03:19:52.855145+00;1b4a7a7e-30a9-4325-a7de-003feddb4126
345306ff-af94-4a88-8959-3ef69a24ae24;อื่นๆ (สโตร์);2026-07-06 01:16:14.070481+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
8568e49e-eef5-4361-aaf6-76d025693e77;อื่นๆ (คิวซี);2026-07-06 01:31:38.967247+00;1b4a7a7e-30a9-4325-a7de-003feddb4126
a3e64439-c1fa-4645-b93a-2880d8809946;อื่นๆ (HR);2026-07-06 01:41:24.916211+00;26c15678-1332-4304-9cff-7387607115ff
5f88d626-bc92-4625-8fb6-10ff8cb5b655;อื่นๆ (RD);2026-07-06 01:43:56.804235+00;96d45601-b560-41c9-9546-f8f773bf9703
60fdb7f3-75ed-46f3-8c68-76cea1818c8c;ปืนกาว-ระบบลม-เครื่องชั่ง-ปลั๊กไฟเครื่องจักร;2026-07-06 02:45:28.855018+00;55aec469-0286-485e-be17-ad143ea8ddd2
4bddcd3a-5051-4595-8a09-3afe48fc8dfc;ทั่วไป;2026-07-06 02:48:42.97564+00;55aec469-0286-485e-be17-ad143ea8ddd2
3f463100-d4f4-4b12-a205-54cfabbdd77a;อื่นๆ (ผลิต);2026-07-06 03:24:12.507914+00;cb81f986-eec5-4eac-9b62-1a371fe8ebb8
32ef7fab-ec72-4e78-8d94-67669bb1e558;เครื่องบดน้ำตาล;2026-07-13 03:12:00.293523+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
6a73ba57-b80f-44cf-abf2-26a628226b4f;สายพานลำเลียงแบบเอียง;2026-06-06 03:26:42.238671+00;55aec469-0286-485e-be17-ad143ea8ddd2
2d541697-f2f7-48c2-89d3-496f4d41eb0f;เครื่องซิลแบบเท้าเหยียบ  รุ่น PFS – 4 - 450;2026-06-06 04:38:38.063772+00;96d45601-b560-41c9-9546-f8f773bf9703
611742b5-e828-4b02-9398-70c3e88b402c;เครื่องผสม;2026-06-06 02:06:39.665968+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
ed7e922f-4885-48ca-b212-5e1c4b2bd088;เครื่องร่อนแป้ง;2026-06-06 02:27:28.965445+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
c721925f-3ae1-4c88-9444-0c0fe6ef1b9f;แฮนด์ลิฟท์บรรจุ;2026-07-15 06:37:31.243625+00;55aec469-0286-485e-be17-ad143ea8ddd2
99d3232b-2082-4b01-bd08-e740122f52cf;แอร์ แผนกบรรจุ;2026-07-16 06:54:32.81464+00;55aec469-0286-485e-be17-ad143ea8ddd2
7b7b3967-29cd-4097-8020-01b6e2d82209;สายพานลำเลียงแบบราบ;2026-06-06 03:28:28.02676+00;55aec469-0286-485e-be17-ad143ea8ddd2
bf714b82-b7ad-451b-86ce-c9395469f118;แอร์ แผนก RD;2026-07-17 07:34:24.837365+00;96d45601-b560-41c9-9546-f8f773bf9703
