id;req_date;part_code;part_name;qty;job_code;job_id;repairer_id;department_id;created_by;source;created_at;updated_at
1bc71e2d-baf6-47bf-8626-d82ebb9fa464;2026-07-21;0401E7-00300/003;"ชุดเบรคเครื่องเวเฟอร์""pei-Ei,""Brand electromagnetic Brake dc24v";1pcs;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
5b53de3e-29ad-4762-be29-5a5b7e03ec4f;2026-07-21;0401E7-00300/004;"ชุดครัชเครื่องเวเฟอร์""pei-Ei""Brand electromagnetic clutch Dc24v";1pcs;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
e0ca8bcc-0140-4a85-a851-25a534c9aa59;2026-07-21;0401E7-00442/003;กลึงเพลาชุดเบรค-ครัชขนาด16มิลตกปากจี้ร่องยาว96มิล;1pcs;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
167af22b-75b5-4523-ad2c-25e6e58b4816;2026-07-21;0401E2-00059/001;ตลับลูกปืน6202zz skf;4fla;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
bd37b6ad-f055-4f27-b107-bdc13497d015;2026-07-21;0401E2-00123/001;ตลับลูกปืน6001zz skf;2fla;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
cd5dae52-b337-4c7a-9788-905e3926aa55;2026-07-21;0401E7-00245/002;เฟืองตรง(ชุดครัช)ตัวใหญ่60tรูเพลา15มิลลิ่ม4มิลหนา15มิล;1pcs;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
3edf37b9-f7ec-4adb-8b1a-1d7f5135bf40;2026-07-21;0401E7-00245/003;เฟืองตรง(ชุดครัช)ตัวเล็ก28tรูเพลา15มิลลิ่ม4มิลหนา15มิล;1pcs;260720001;c0544c95-6c8b-4070-8eb0-4a42ffb82f5b;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-21 08:39:01.21676+00;2026-07-21 08:39:01.21676+00
4d76b8a1-5551-402e-940a-a2d98dbb76f4;2026-07-22;0401E7/00054/028;จำนวน 1 ครับ;1;260721003;981bac7a-6fca-42df-af09-32d6135a1480;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;755d8bf8-abaf-4e67-8c66-c04dab7755d0;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;repairer;2026-07-22 03:43:15.998139+00;2026-07-22 03:43:15.998139+00
c5912e9f-520a-406b-becc-ca15e591cf80;2026-07-22;0401E6-00013015;สั่งหลอดครับ;2;260717003;646b5ff9-c7f1-4846-a8fa-0a3dc732c80f;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;755d8bf8-abaf-4e67-8c66-c04dab7755d0;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;repairer;2026-07-22 03:46:28.01466+00;2026-07-22 03:46:28.01466+00
8a5bc07f-3bad-48fd-be99-873a94a9db5a;2026-07-22;0401E/00109/001;1 เส้น;1;260721001;c0867a08-0342-4aa1-b31e-7fd81ee1bdd3;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;755d8bf8-abaf-4e67-8c66-c04dab7755d0;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;repairer;2026-07-22 03:48:14.175262+00;2026-07-22 03:48:14.175262+00
f2a6f6db-0855-4716-bb3d-972d85a79559;2026-07-22;0401E6/0013015;1 หลอด;1;260716006;96c4ad29-56f6-4777-bdd9-a74f9b92b75e;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;755d8bf8-abaf-4e67-8c66-c04dab7755d0;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;repairer;2026-07-22 03:49:27.759356+00;2026-07-22 03:49:27.759356+00
176d33e6-aca0-4cd3-8d01-465fe302867f;2026-07-22;0401e4-00147/004;"พัดลมตู้คอยโทรลขนาด 8""";2 ตัว;260721002;0fddb3ac-a79f-417f-b4e2-10edf4bfc3c6;14a61d91-95ef-411a-b313-dae02e0f86a9;72e122e2-76e3-44aa-a586-0a3f86291d77;14a61d91-95ef-411a-b313-dae02e0f86a9;repairer;2026-07-22 07:38:23.412697+00;2026-07-22 07:38:23.412697+00
d5e8e17b-5046-4b4e-8953-cd45ab97b979;2026-07-18;0401E4-00551/004;บล๊อคยางพร้อมปลั๊กกราวด์ ขนาด 4x4;1;260716007;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 01:26:15.672826+00;2026-07-23 01:26:15.672826+00
efbbd174-1a09-4469-bcc5-5116c1f81a14;2026-07-18;0401E8-00639/009;สายไฟ IEC53-G VCT-G 3 x 1.5/1.5 sqmm. 3;4;260716007;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 01:26:48.841506+00;2026-07-23 01:26:48.841506+00
f4fb2114-f228-455e-8e25-acd1a72c9b0a;2026-07-18;0401E4-00122/002;เคเบิ้อลไทร์ 8นิ้ว;40;260716005;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 01:27:33.160762+00;2026-07-23 01:27:33.160762+00
c51c903d-ef99-4138-936e-a815230431a0;2026-07-22;0401E8-00217/006;ล้อยูริเทน 2 นิ้ว (เป็น);4;260721013;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 01:28:36.688349+00;2026-07-23 01:28:36.688349+00
dbbeefde-cdb3-4fe6-be25-43be2aeb23ab;2026-07-22;0401E8-00217/006;ล้อยูริเทน 2 นิ้ว (เป็น);2;260721012;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 01:29:18.854042+00;2026-07-23 01:29:18.854042+00
94ed1a54-a8ae-4fef-adc9-3c895aa319e9;2026-07-23;0401E1-00474/005;"""PTFE MESH CONVEYOR BEIGE 4X4 ' ENDLESS BY BULLNOSE JOINT SIZE 390 MM. X 2,730 MM. WITH EDGE FILM RED 25 MM. X 2 SIDES (ชริงค์เบอร์ 3)""";1;260708001;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 06:08:28.647341+00;2026-07-23 06:08:28.647341+00
92ad1b18-590d-4207-b8ad-1499324db848;2026-07-23;0401E4-00147/001;"พัดลมตู้คอนโทลน 4"" 220V";1;260723002;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-23 06:12:41.430361+00;2026-07-23 06:12:41.430361+00
e70f8237-6afc-4c3b-a2d2-b016527bd6c4;2026-07-23;0401E2-00034/003;ลูกปืน​6204;2ลูก;260715003;16987573-0bf7-463b-a4f9-23dfdb5a0cfc;6fff3037-214c-4188-8332-997730090207;755d8bf8-abaf-4e67-8c66-c04dab7755d0;6fff3037-214c-4188-8332-997730090207;repairer;2026-07-23 06:30:30.70241+00;2026-07-23 06:30:30.70241+00
b60c4478-580e-4e85-895c-690759799a27;2026-07-24;0401E8-00699-001;งานบูช (ตามตัวอย่าง) MAT : ทองเหลือง Size : 30 x 12 mm. บูชทองหลืองตัวล็อกชุดหน้าซีลเครื่องเแนวตั้ง;1;260706007;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-24 01:08:40.682671+00;2026-07-24 01:08:40.682671+00
44960eb6-5a57-4546-8999-24c4b6013a08;2026-07-24;260723002;พัดลมตู้คอนโทรน 220V 4นิ้ว;1;260723002;356fdec0-f930-4eff-ba88-11048773c1d2;bd10cd0f-07af-4f58-87d9-595a76cd55f5;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;bd10cd0f-07af-4f58-87d9-595a76cd55f5;repairer;2026-07-24 03:16:01.009247+00;2026-07-24 03:16:01.009247+00
